County Name,Facility_Name,Full_Address,State,Total,latitudes,longitudes
AUTAUGA,PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR,PRATTVILLE,AUTAUGA,AL",AL,857,32.4640449,-86.4523535
PICKENS,PICKENS COUNTY MEDICAL CENTER,"241 ROBERT K WILSON DRIVE,CARROLLTON,PICKENS,AL",AL,1905,33.26179,-88.09503
BULLOCK,BULLOCK COUNTY HOSPITAL,"102 WEST CONECUH AVENUE,UNION SPRINGS,BULLOCK,AL",AL,400,32.1462328,-85.7135745
MARENGO,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 HIGHWAY 80 EAST,DEMOPOLIS,MARENGO,AL",AL,430,32.51764,-87.8364
MOBILE,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE,MOBILE,MOBILE,AL",AL,6178,30.6959933,-88.0793933
JEFFERSON,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST,BESSEMER,JEFFERSON,AL",AL,26142,33.3723152,-86.9907046
DALLAS,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"1015 MEDICAL CENTER PARKWAY,SELMA,DALLAS,AL",AL,44039,32.4293996,-87.0559034
MONROE,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE,MONROEVILLE,MONROE,AL",AL,10026,31.49897,-87.319253
WINSTON,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195 E,HALEYVILLE,WINSTON,AL",AL,704,34.22649,-87.62141
PIKE,TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 SOUTH,TROY,PIKE,AL",AL,2112,34.256616,-88.706991
BALDWIN,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE,BAY MINETTE,BALDWIN,AL",AL,2758,30.9038069,-87.7849551
ST. CLAIR,ST VINCENT'S ST CLAIR,"7063 VETERANS PARKWAY,PELL CITY,ST. CLAIR,AL",AL,4294,33.6044765,-86.3013052
MADISON,CRESTWOOD MEDICAL CENTER,"ONE HOSPITAL DR SE,HUNTSVILLE,MADISON,AL",AL,10806,34.705225,-86.680678
SUMTER,HILL HOSPITAL OF SUMTER COUNTY,"751 DERBY DRIVE,YORK,SUMTER,AL",AL,3548,32.4919402,-88.295443
JEFFERSON,BROOKWOOD BAPTIST MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.562691,-86.65408
MOBILE,SPRINGHILL MEDICAL CENTER,"3719 DAUPHIN STREET,MOBILE,MOBILE,AL",AL,6178,30.6847189,-88.1301569
MONTGOMERY,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD,MONTGOMERY,MONTGOMERY,AL",AL,41558,32.3879309,-86.1760344
BUTLER,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,"29 L V STABLER DRIVE,GREENVILLE,BUTLER,AL",AL,4012,32.43806,-88.368099
FRANKLIN,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43,RUSSELLVILLE,FRANKLIN,AL",AL,22231,31.670475,-87.793567
TALLADEGA,COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST,SYLACAUGA,TALLADEGA,AL",AL,658,33.1651887,-86.2556491
RUSSELL,JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVER CHASE DRIVE,PHENIX CITY,RUSSELL,AL",AL,1063,32.5079773,-85.0087847
ESCAMBIA,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE,ATMORE,ESCAMBIA,AL",AL,6565,31.017017,-87.4785766
WASHINGTON,WASHINGTON COUNTY HOSPITAL,"14600 ST. STEPHENS AVENUE,CHATOM,WASHINGTON,AL",AL,17929,31.4588153,-88.2355027
FRANKLIN,RED BAY HOSPITAL,"211 HOSPITAL ROAD,RED BAY,FRANKLIN,AL",AL,22231,34.4582495,-88.1475051
BLOUNT,ST VINCENTS BLOUNT,"150 GILBREATH DRIVE,ONEONTA,BLOUNT,AL",AL,1045,33.9302663,-86.4938624
RANDOLPH,TANNER MEDICAL CENTER-EAST ALABAMA,"1032 MAIN STREET SOUTH,WEDOWEE,RANDOLPH,AL",AL,3077,32.506035,-87.839106
JEFFERSON,THE CHILDREN'S HOSPITAL OF ALABAMA,"1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.503306,-86.805432
MOBILE,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,"1700 CENTER STREET,MOBILE,MOBILE,AL",AL,6178,30.6983099,-88.0774573
JEFFERSON,HILL CREST BEHAVIORAL HEALTH SERVICES,"6869 FIFTH AVENUE SOUTH,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.543925,-86.69032
ETOWAH,MOUNTAIN VIEW HOSPITAL,"3201 SCENIC HIGHWAY,GADSDEN,ETOWAH,AL",AL,1382,34.0663339,-86.0230626
TUSCALOOSA,BRYCE HOSPITAL,"200 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,AL",AL,3240,33.208137,-87.53757
TUSCALOOSA,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,"201 UNIVERSITY BLVD,TUSCALOOSA,TUSCALOOSA,AL",AL,3240,33.208138,-87.5375748
MOBILE,BAYPOINTE BEHAVIORAL HEALTH,"5800 SOUTHLAND DRIVE,MOBILE,MOBILE,AL",AL,6178,30.623748,-88.1776525
BALDWIN,EASTPOINTE HOSPITAL,"7400 ROPER LANE,DAPHNE,BALDWIN,AL",AL,2758,30.6353442,-87.8952593
MADISON,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW,HUNTSVILLE,MADISON,AL",AL,10806,34.706539,-86.677855
JUNEAU,BARTLETT REGIONAL HOSPITAL,"3260 HOSPITAL DR,JUNEAU,JUNEAU,AK",AK,76,58.329259,-134.464983
WRANGELL CITY AND BOROUGH,SEARHC WRANGELL MEDICAL CENTER-CAH,"310 BENNETT STREET PO BOX 1081,WRANGELL,WRANGELL CITY AND BOROUGH,AK",AK,3,56.47227,-132.375925
KODIAK ISLAND BOROUGH,PROVIDENCE KODIAK ISLAND MEDICAL CTR,"1915 EAST REZANOF DRIVE,KODIAK,KODIAK ISLAND BOROUGH,AK",AK,5,57.800758,-152.374242
MARICOPA,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.4647092,-112.05858
PIMA,TUCSON MEDICAL CENTER,"5301 EAST GRANT ROAD,TUCSON,PIMA,AZ",AZ,13594,32.2527126,-110.8782396
YAVAPAI,VERDE VALLEY MEDICAL CENTER,"269 SOUTH CANDY LANE,COTTONWOOD,YAVAPAI,AZ",AZ,1394,34.7377764,-112.0311744
PIMA,ST. MARY'S HOSPITAL,"1601 WEST ST MARY'S ROAD,TUCSON,PIMA,AZ",AZ,13594,32.2274428,-111.0001793
PIMA,ST JOSEPH'S HOSPITAL,"350 NORTH WILMOT ROAD,TUCSON,PIMA,AZ",AZ,13594,32.2269182,-110.8554362
YAVAPAI,YAVAPAI REGIONAL MEDICAL CENTER,"1003 WILLOW CREEK ROAD,PRESCOTT,YAVAPAI,AZ",AZ,1394,34.5588135,-112.4806537
YUMA,YUMA REGIONAL MEDICAL CENTER,"2400 SOUTH AVENUE A,YUMA,YUMA,AZ",AZ,9430,32.682658,-114.6351026
MARICOPA,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,"250 EAST DUNLAP AVENUE,PHOENIX,MARICOPA,AZ",AZ,96711,33.5693337,-112.070651
PINAL,BANNER CASA GRANDE MEDICAL CENTER,"1800 EAST FLORENCE BOULEVARD,CASA GRANDE,PINAL,AZ",AZ,6651,32.8809339,-111.7098276
MARICOPA,VALLEYWISE HEALTH MEDICAL CENTER,"2601 EAST ROOSEVELT STREET,PHOENIX,MARICOPA,AZ",AZ,96711,33.4568309,-112.0269645
MARICOPA,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.4822628,-112.0800515
MARICOPA,ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.5250664,-112.1021614
MARICOPA,CHANDLER REGIONAL MEDICAL CENTER,"1955 WEST FRYE ROAD,CHANDLER,MARICOPA,AZ",AZ,96711,33.2967965,-111.8740829
MARICOPA,ST LUKE'S MEDICAL CENTER,"1800 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ",AZ,96711,33.4527438,-112.0422948
MARICOPA,SCOTTSDALE OSBORN MEDICAL CENTER,"7400 EAST OSBORN ROAD,SCOTTSDALE,MARICOPA,AZ",AZ,96711,33.4885727,-111.9229832
MOHAVE,KINGMAN REGIONAL MEDICAL CENTER,"3269 STOCKTON HILL ROAD,KINGMAN,MOHAVE,AZ",AZ,2281,35.2201076,-114.0379975
MARICOPA,BANNER BOSWELL MEDICAL CENTER,"10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,MARICOPA,AZ",AZ,96711,33.6026582,-112.2837711
NAVAJO,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,"2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,NAVAJO,AZ",AZ,4817,34.202886,-110.0174632
PIMA,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"1625 NORTH CAMPBELL AVENUE,TUCSON,PIMA,AZ",AZ,13594,32.2419763,-110.9440946
MARICOPA,BANNER DESERT MEDICAL CENTER,"1400 SOUTH  DOBSON ROAD,MESA,MARICOPA,AZ",AZ,96711,33.3896874,-111.8771886
GRAHAM,MT. GRAHAM REGIONAL MEDICAL CENTER,"1600 SOUTH 20TH AVENUE,SAFFORD,GRAHAM,AZ",AZ,317,32.8225938,-109.7354298
MOHAVE,HAVASU REGIONAL MEDICAL CENTER,"101 CIVIC CENTER LANE,LAKE HAVASU CITY,MOHAVE,AZ",AZ,2281,34.4804445,-114.3381339
APACHE,FORT DEFIANCE INDIAN HOSPITAL,"PO BOX 649,FORT DEFIANCE,APACHE,AZ",AZ,2740,32.321781,-108.65683
PIMA,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD,SELLS,PIMA,AZ",AZ,13594,32.911729,-109.188475
GILA,SAN CARLOS APACHE HEALTHCARE CORP,"103 MEDICINE WAY ROAD,PERIDOT,GILA,AZ",AZ,573,33.31034,-110.45538
MARICOPA,PHOENIX INDIAN MEDICAL CENTER,"4212 NORTH 16TH STREET,PHOENIX,MARICOPA,AZ",AZ,96711,33.497155,-112.0490908
MARICOPA,ABRAZO SCOTTSDALE CAMPUS,"3929 EAST BELL ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.6393911,-111.9975097
APACHE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD,CHINLE,APACHE,AZ",AZ,2740,31.844199,-108.982525
PIMA,NORTHWEST MEDICAL CENTER,"6200 NORTH LA CHOLLA BOULEVARD,TUCSON,PIMA,AZ",AZ,13594,32.3146236,-111.0120452
MARICOPA,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD,SCOTTSDALE,MARICOPA,AZ",AZ,96711,33.5801053,-111.8854954
MARICOPA,BANNER BAYWOOD MEDICAL CENTER,"6644 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ",AZ,96711,33.4113149,-111.6891037
MARICOPA,BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD,GLENDALE,MARICOPA,AZ",AZ,96711,33.6089475,-112.1797429
MARICOPA,HONORHEALTH DEER VALLEY MEDICAL CENTER,"19829 NORTH 27TH AVENUE,PHOENIX,MARICOPA,AZ",AZ,96711,33.6648702,-112.1159465
MARICOPA,BANNER DEL E. WEBB MEDICAL CENTER,"14502 WEST MEEKER BOULEVARD,SUN CITY WEST,MARICOPA,AZ",AZ,96711,33.6598293,-112.3728237
MARICOPA,ARROWHEAD HOSPITAL,"18701 NORTH 67TH AVENUE,GLENDALE,MARICOPA,AZ",AZ,96711,33.6551568,-112.2011462
MOHAVE,WESTERN ARIZONA REGIONAL MEDICAL CENTER,"2735 SILVER CREEK ROAD,BULLHEAD CITY,MOHAVE,AZ",AZ,2281,35.1106048,-114.5558055
MARICOPA,MAYO CLINIC HOSPITAL,"5777 EAST MAYO BOULEVARD,PHOENIX,MARICOPA,AZ",AZ,96711,33.6572527,-111.9558917
MARICOPA,BANNER HEART HOSPITAL,"6750 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ",AZ,96711,33.4113049,-111.6855281
MARICOPA,ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD,MESA,MARICOPA,AZ",AZ,96711,33.3790881,-111.773089
MARICOPA,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE,PHOENIX,MARICOPA,AZ",AZ,96711,33.5322249,-112.0987902
MARICOPA,ABRAZO WEST CAMPUS,"13677 WEST MCDOWELL ROAD,GOODYEAR,MARICOPA,AZ",AZ,96711,33.4626706,-112.3530515
PIMA,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"2800 EAST AJO WAY,TUCSON,PIMA,AZ",AZ,13594,32.1753229,-110.9303228
MARICOPA,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1,CHANDLER,MARICOPA,AZ",AZ,96711,33.3338583,-111.8913907
NAVAJO,WHITERIVER PHS INDIAN HOSPITAL,"200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,NAVAJO,AZ",AZ,4817,35.124191,-109.538166
PIMA,ORO VALLEY HOSPITAL,"1551 EAST TANGERINE ROAD,ORO VALLEY,PIMA,AZ",AZ,13594,32.4292946,-110.9490675
MARICOPA,BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.4782685,-112.2573789
MOHAVE,VALLEY VIEW MEDICAL CENTER,"5330 SOUTH HIGHWAY 95,FORT MOHAVE,MOHAVE,AZ",AZ,2281,35.70404,-113.75791
MARICOPA,MERCY GILBERT MEDICAL CENTER,"3555 SOUTH VAL VISTA DRIVE,GILBERT,MARICOPA,AZ",AZ,96711,33.2870882,-111.752237
MARICOPA,"MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD,MESA,MARICOPA,AZ",AZ,96711,33.3916445,-111.610747
MARICOPA,BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD,GILBERT,MARICOPA,AZ",AZ,96711,33.385508,-111.7237029
MARICOPA,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,"7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,MARICOPA,AZ",AZ,96711,33.6698797,-111.9221607
PINAL,BANNER IRONWOOD MEDICAL CENTER,"37000 NORTH GANTZEL ROAD,QUEEN CREEK,PINAL,AZ",AZ,6651,33.2391,-111.63966
MARICOPA,O.A.S.I.S. HOSPITAL,"750 NORTH 40TH STREET,PHOENIX,MARICOPA,AZ",AZ,96711,33.4567788,-111.9966344
PINAL,BANNER GOLDFIELD MEDICAL CENTER,"2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,PINAL,AZ",AZ,6651,33.3945989,-111.5671824
MARICOPA,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,"7171 SOUTH 51ST AVENUE,LAVEEN,MARICOPA,AZ",AZ,96711,33.3807726,-112.166903
PIMA,SANTA CRUZ VALLEY REGIONAL HOSPITAL,"4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,PIMA,AZ",AZ,13594,31.8067267,-111.009672
MARICOPA,WESTERN REGIONAL MEDICAL CENTER,"14200 WEST CELEBRATE LIFE WAY,GOODYEAR,MARICOPA,AZ",AZ,96711,33.192743,-111.579849
MARICOPA,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,"9130 EAST ELLIOT ROAD,MESA,MARICOPA,AZ",AZ,96711,33.3499416,-111.5965352
MARICOPA,WICKENBURG COMMUNITY HOSPITAL,"520 ROSE LANE,WICKENBURG,MARICOPA,AZ",AZ,96711,33.9783985,-112.7398516
NAVAJO,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388,POLACCA,NAVAJO,AZ",AZ,4817,35.655206,-109.102978
PINAL,HUHU KAM MEMORIAL HOSPITAL,"483 WEST SEED FARM ROAD,SACATON,PINAL,AZ",AZ,6651,33.07672,-111.7393
APACHE,SAGE MEMORIAL HOSPITAL,"STATE ROUTE 264 SOUTH 191,GANADO,APACHE,AZ",AZ,2740,32.321449,-107.75146
NAVAJO,LITTLE COLORADO MEDICAL CENTER,"1501 NORTH WILLIAMSON AVENUE,WINSLOW,NAVAJO,AZ",AZ,4817,35.0351768,-110.692419
SANTA CRUZ,HOLY CROSS HOSPITAL,"1171 WEST TARGET RANGE ROAD,NOGALES,SANTA CRUZ,AZ",AZ,3112,31.3400485,-110.9596097
GILA,COBRE VALLEY REGIONAL MEDICAL CENTER,"5880 SOUTH HOSPITAL DRIVE,GLOBE,GILA,AZ",AZ,573,33.39422,-110.7865
APACHE,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,"118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,APACHE,AZ",AZ,2740,34.131573,-109.2853488
GILA,BANNER PAYSON MEDICAL CENTER,"807 SOUTH PONDEROSA DRIVE,PAYSON,GILA,AZ",AZ,573,34.23087,-111.32514
MARICOPA,PHOENIX CHILDREN'S HOSPITAL,"1919 EAST THOMAS ROAD,PHOENIX,MARICOPA,AZ",AZ,96711,33.4789131,-112.041073
MARICOPA,BANNER BEHAVIORAL HEALTH HOSPITAL,"7575 EAST EARLL DRIVE,SCOTTSDALE,MARICOPA,AZ",AZ,96711,33.4830723,-111.9186608
MARICOPA,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP","1800 EAST VAN BUREN,PHOENIX,MARICOPA,AZ",AZ,96711,33.042088,-111.966777
MARICOPA,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,"1201 SOUTH 7TH AVENUE, SUITE 200,PHOENIX,MARICOPA,AZ",AZ,96711,33.4359897,-112.0813823
MARICOPA,ARIZONA STATE HOSPITAL,"2500 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ",AZ,96711,33.4512525,-111.9953126
PIMA,SONORA BEHAVIORAL HEALTH HOSPITAL,"6050 NORTH CORONA ROAD,TUCSON,PIMA,AZ",AZ,13594,32.3166544,-111.0078142
MARICOPA,AURORA BEHAVIORAL HEALTH SYSTEM,"6015 WEST PEORIA  AVENUE,GLENDALE,MARICOPA,AZ",AZ,96711,33.5808176,-112.1893646
YAVAPAI,WINDHAVEN PSYCHIATRIC HOSPITAL,"3347 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,YAVAPAI,AZ",AZ,1394,34.5904699,-112.3265858
MARICOPA,VALLEY HOSPITAL,"3550 EAST PINCHOT AVENUE,PHOENIX,MARICOPA,AZ",AZ,96711,33.4827625,-112.005702
NAVAJO,CHANGEPOINT PSYCHIATRIC HOSPITAL,"1920 WEST COMMERCE DRIVE,LAKESIDE,NAVAJO,AZ",AZ,4817,35.124191,-109.538166
MARICOPA,AURORA BEHAVIORAL HEALTHCARE-TEMPE,"6350 SOUTH MAPLE AVENUE,TEMPE,MARICOPA,AZ",AZ,96711,33.3641791,-111.9391631
MARICOPA,OASIS BEHAVIORAL HEALTH HOSPITAL,"2190 NORTH GRACE BOULEVARD,CHANDLER,MARICOPA,AZ",AZ,96711,33.3372231,-111.847261
PIMA,PALO VERDE BEHAVIORAL HEALTH,"2695 NORTH CRAYCROFT ROAD,TUCSON,PIMA,AZ",AZ,13594,32.2689012,-110.8750759
MARICOPA,QUAIL RUN BEHAVIORAL HEALTH,"2545 WEST QUAIL AVENUE,PHOENIX,MARICOPA,AZ",AZ,96711,33.6785249,-112.113573
MARICOPA,"COPPER SPRINGS HOSPITAL, LLC","10550 WEST MCDOWELL ROAD,AVONDALE,MARICOPA,AZ",AZ,96711,33.4646187,-112.2862222
PIMA,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,"1400 NORTH WILMOT ROAD,TUCSON,PIMA,AZ",AZ,13594,32.2394007,-110.857731
BENTON,SILOAM SPRINGS REGIONAL HOSPITAL,"603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,BENTON,AR",AR,7453,36.1900317,-94.5077267
JOHNSON,JOHNSON REGIONAL MEDICAL CENTER,"1100 EAST POPLAR STREET,CLARKSVILLE,JOHNSON,AR",AR,9132,35.4621664,-93.4444044
